name,description,urgency_level,symptoms
Fungal infection,A medical condition presenting with itching and other symptoms.,moderate,"Itching, Skin Rash"
Diabetes,"A metabolic disease causing high blood sugar levels, increasingly common in Nigeria.",moderate,"Fatigue, Weight Loss, Restlessness, Lethargy, Irregular Blood Sugar, Blurred Vision, Excessive Hunger, Increased Appetite, Excessive Urination"
Gastroenteritis,"Inflammation of the stomach and intestines, commonly called stomach flu.",moderate,"Vomiting, Sunken Eyes, Dehydration, Diarrhea"
Bronchial Asthma,A chronic condition causing airway inflammation and breathing difficulty.,urgent,"Fatigue, Cough, High Fever, Shortness of Breath, Mucus in Cough"
Hypertension,"High blood pressure, a leading cause of stroke and heart disease in Nigeria.",moderate,"Headache, Chest Pain, Dizziness, Loss of Balance, Difficulty Concentrating"
Migraine,A neurological condition causing severe recurring headaches.,moderate,"Acidity, Indigestion, Headache, Blurred Vision, Excessive Hunger, Stiff Neck, Depression, Irritability"
Jaundice,"A condition causing yellowing of skin and eyes, often a sign of liver problems.",urgent,"Itching, Vomiting, Fatigue, Weight Loss, High Fever, Yellowing of Skin, Dark Urine, Abdominal Pain"
Malaria,"A mosquito-borne infectious disease common in Nigeria, caused by Plasmodium parasites.",urgent,"Chills, Vomiting, High Fever, Sweating, Headache, Nausea, Diarrhea, Muscle Pain"
Chicken pox,A medical condition presenting with itching and other symptoms.,moderate,"Itching, Skin Rash, Fatigue, Lethargy, High Fever, Headache, Loss of Appetite, Mild Fever, Swollen Lymph Nodes, General Malaise, Red Spots on Body"
Dengue,A mosquito-borne viral infection causing severe flu-like illness.,urgent,"Skin Rash, Chills, Joint Pain, Vomiting, Fatigue, Headache, Nausea, Loss of Appetite, Pain Behind Eyes, Back Pain, General Malaise, Muscle Pain, Red Spots on Body"
Typhoid,"A bacterial infection caused by Salmonella typhi, spread through contaminated food and water.",urgent,"Chills, Vomiting, Fatigue, High Fever, Headache, Nausea, Constipation, Abdominal Pain, Diarrhea, Belly Pain"
Hepatitis A,A viral liver infection spread through contaminated food and water.,urgent,"Joint Pain, Vomiting, Yellowing of Skin, Dark Urine, Nausea, Loss of Appetite, Abdominal Pain, Diarrhea, Mild Fever, Yellowing of Eyes, Muscle Pain"
Hepatitis B,"A serious viral liver infection, endemic in Nigeria with high prevalence.",urgent,"Itching, Fatigue, Lethargy, Yellowing of Skin, Dark Urine, Loss of Appetite, Abdominal Pain, Yellow Urine, Yellowing of Eyes, General Malaise"
Tuberculosis,"A serious bacterial infection primarily affecting the lungs, spread through the air.",urgent,"Chills, Vomiting, Fatigue, Weight Loss, Cough, High Fever, Shortness of Breath, Sweating, Loss of Appetite, Mild Fever, Yellowing of Eyes, Swollen Lymph Nodes, General Malaise, Phlegm, Chest Pain, Blood in Cough"
Common Cold,"A viral infection of the upper respiratory tract, usually mild and self-limiting.",self_care,"Sneezing, Chills, Fatigue, Cough, High Fever, Headache, Swollen Lymph Nodes, General Malaise, Phlegm, Sore Throat, Red Eyes, Sinus Pressure, Runny Nose, Nasal Congestion, Chest Pain, Loss of Smell, Muscle Pain"
Pneumonia,"An infection that inflames the air sacs in the lungs, very common in Nigeria.",urgent,"Chills, Fatigue, Cough, High Fever, Shortness of Breath, Sweating, General Malaise, Phlegm, Chest Pain, Rapid Heartbeat, Rusty Coloured Sputum"
Heart attack,A medical condition presenting with vomiting and other symptoms.,moderate,"Vomiting, Shortness of Breath, Sweating, Chest Pain"
Arthritis,Inflammation of joints causing pain and stiffness.,self_care,"Muscle Weakness, Stiff Neck, Swelling Joints"
Urinary tract infection,A medical condition presenting with burning urination and other symptoms.,moderate,"Burning Urination, Bladder Discomfort, Foul-smelling Urine, Frequent Urination"
