name,urgency_level,requires_all,priority,guidance_text,symptoms
Chest Pain Emergency,emergency,True,100,"🚨 Call emergency services immediately. Do not drive yourself. Sit upright and stay calm while waiting for help.","Chest Pain,Shortness of Breath"
Severe Breathing,emergency,True,95,"🚨 Severe breathing difficulty requires immediate care. Call emergency services now. Use inhaler if prescribed.","Shortness of Breath,Cough"
High Fever with Confusion,emergency,True,90,"🚨 High fever with confusion is serious. Call emergency services. Cool the person with wet cloths while waiting.","Fever,Confusion"
Vomiting Blood,emergency,False,85,"🚨 Vomiting blood requires immediate hospital care. Do not eat or drink. Call emergency services.","Vomiting,Bleeding"
Severe Abdominal Pain,urgent,False,80,"See a doctor within 24 hours. Severe stomach pain can indicate serious conditions. Avoid eating until evaluated.","Abdominal Pain"
Persistent Fever,urgent,False,75,"Fever lasting more than 3 days needs medical evaluation. Stay hydrated and rest. See doctor tomorrow.","Fever"
Chest Discomfort,urgent,False,70,"Chest symptoms should be evaluated by a doctor within 24 hours. Avoid strenuous activity until seen.","Chest Pain"
Breathing Difficulty,urgent,False,65,"Difficulty breathing needs prompt medical attention. If worsening, go to emergency immediately.","Shortness of Breath"
Severe Headache,urgent,False,60,"Severe or sudden headaches require medical evaluation. Rest in quiet dark room until seen.","Headache"
Joint Pain with Swelling,moderate,True,55,"Joint pain with swelling suggests inflammation. Schedule doctor appointment within 2-3 days. Rest the affected joint.","Joint Pain,Swelling"
Fever with Body Pain,moderate,True,50,"Likely viral infection. Rest, fluids, paracetamol. See doctor if no improvement in 3 days.","Fever,Body Pain"
Digestive Issues,moderate,False,45,"Stomach symptoms usually resolve in 24-48 hours. Stay hydrated. See doctor if persists beyond 2 days.","Nausea,Vomiting,Diarrhea"
Respiratory Symptoms,moderate,False,40,"Cold/flu symptoms. Rest, fluids, steam inhalation. See doctor if fever develops or symptoms worsen.","Cough,Sore Throat,Runny Nose"
Skin Rash,moderate,False,35,"Monitor rash for spreading or itching. Avoid scratching. See doctor if worsens or accompanied by fever.","Rash,Itching"
General Fatigue,self_care,False,20,"Fatigue often improves with rest. Ensure 8 hours sleep, hydration, and balanced meals.","Fatigue"
Mild Headache,self_care,False,15,"Rest in quiet room, drink water, take paracetamol if needed. See doctor if frequent or severe.","Headache"
Back Pain,self_care,False,10,"Back pain usually improves with rest and gentle stretching. Use warm compress. Avoid heavy lifting.","Back Pain"
Cold Symptoms,self_care,False,5,"Common cold resolves in 7-10 days. Rest, fluids, vitamin C. No antibiotics needed.","Runny Nose,Sneezing,Sore Throat"
